# x,y,z,group (every 3 lines = 1 triangle)
-3.674995,0.528546,4.038199,2
-3.973861,0.541262,3.941407,2
-3.676397,0.553775,4.557867,2
-3.217150,0.441663,4.726698,2
-3.220859,0.411127,4.176458,2
-3.676397,0.553775,4.557867,2
-3.220859,0.411127,4.176458,2
-3.674995,0.528546,4.038199,2
-3.674995,0.528546,4.038199,2
-3.220859,0.411127,4.176458,2
-3.234716,0.238262,3.778331,2
-3.674995,0.528546,4.038199,2
-3.234716,0.238262,3.778331,2
-3.698530,0.394860,3.664474,2
-3.973861,0.541262,3.941407,2
-3.674995,0.528546,4.038199,2
-3.698530,0.394860,3.664474,2
-3.973861,0.541262,3.941407,2
-3.698530,0.394860,3.664474,2
-3.917034,0.430345,3.699369,2
2.020265,-1.227600,4.082721,2
2.023644,-0.652753,3.947849,2
2.737518,-0.443850,3.794609,2
2.020265,-1.227600,4.082721,2
2.737518,-0.443850,3.794609,2
2.724000,-0.963233,3.927811,2
2.023644,-0.652753,3.947849,2
2.027030,-0.077968,4.083211,2
2.751062,0.075288,3.929771,2
2.023644,-0.652753,3.947849,2
2.751062,0.075288,3.929771,2
2.737518,-0.443850,3.794609,2
2.737518,-0.443850,3.794609,2
2.751062,0.075288,3.929771,2
3.312197,0.238262,3.764542,2
2.737518,-0.443850,3.794609,2
3.312197,0.238262,3.764542,2
3.275923,-0.198899,3.633088,2
2.724000,-0.963233,3.927811,2
2.737518,-0.443850,3.794609,2
3.275923,-0.198899,3.633088,2
2.724000,-0.963233,3.927811,2
3.275923,-0.198899,3.633088,2
3.241197,-0.634585,3.759400,2
-3.284057,0.238262,6.053512,2
-2.679919,0.075288,6.248061,2
-2.677955,0.280209,6.193939,2
-3.284057,0.238262,6.053512,2
-2.677955,0.280209,6.193939,2
-3.284152,0.411127,5.998718,2
-2.679919,0.075288,6.248061,2
-1.940729,-0.077968,6.407072,2
-1.940238,0.149193,6.352523,2
-2.679919,0.075288,6.248061,2
-1.940238,0.149193,6.352523,2
-2.677955,0.280209,6.193939,2
-2.677955,0.280209,6.193939,2
-1.940238,0.149193,6.352523,2
-1.938958,0.189204,6.142011,2
-2.677955,0.280209,6.193939,2
-1.938958,0.189204,6.142011,2
-2.672834,0.316069,5.984758,2
-3.284152,0.411127,5.998718,2
-2.677955,0.280209,6.193939,2
-2.672834,0.316069,5.984758,2
-3.284152,0.411127,5.998718,2
-2.672834,0.316069,5.984758,2
-3.273992,0.441663,5.791591,2
3.241197,-0.634585,3.759400,2
3.275923,-0.198899,3.633088,2
3.683477,0.061083,3.506636,2
3.241197,-0.634585,3.759400,2
3.683477,0.061083,3.506636,2
3.612162,-0.265566,3.616726,2
3.275923,-0.198899,3.633088,2
3.312197,0.238262,3.764542,2
3.760856,0.394860,3.627496,2
3.275923,-0.198899,3.633088,2
3.760856,0.394860,3.627496,2
3.683477,0.061083,3.506636,2
3.683477,0.061083,3.506636,2
3.760856,0.394860,3.627496,2
3.941337,0.430345,3.632362,2
3.683477,0.061083,3.506636,2
3.941337,0.430345,3.632362,2
3.946112,0.269079,3.522961,2
3.612162,-0.265566,3.616726,2
3.683477,0.061083,3.506636,2
3.946112,0.269079,3.522961,2
3.612162,-0.265566,3.616726,2
3.946112,0.269079,3.522961,2
3.824555,0.011870,3.623904,2
2.025838,0.189204,5.049801,2
2.746292,0.316069,4.889633,2
2.749793,0.280209,4.332224,2
2.025838,0.189204,5.049801,2
2.749793,0.280209,4.332224,2
2.026713,0.149193,4.488538,2
2.746292,0.316069,4.889633,2
3.307116,0.441663,4.689659,2
3.311612,0.411127,4.150980,2
2.746292,0.316069,4.889633,2
3.311612,0.411127,4.150980,2
2.749793,0.280209,4.332224,2
2.749793,0.280209,4.332224,2
3.311612,0.411127,4.150980,2
3.312197,0.238262,3.764542,2
2.749793,0.280209,4.332224,2
3.312197,0.238262,3.764542,2
2.751062,0.075288,3.929771,2
2.026713,0.149193,4.488538,2
2.749793,0.280209,4.332224,2
2.751062,0.075288,3.929771,2
2.026713,0.149193,4.488538,2
2.751062,0.075288,3.929771,2
2.027030,-0.077968,4.083211,2
3.824555,0.011870,3.623904,2
3.946112,0.269079,3.522961,2
